Factor Accession No.	Factor Name	Factor Species
T00029	AP-1	human, Homo sapiens
T00031	AP-1	rat, Rattus norvegicus
T00032	AP-1	mouse, Mus musculus
T00034	AP-2	rat, Rattus norvegicus
T00035	AP-2alphaA	human, Homo sapiens
T00104	C/EBPalpha	mouse, Mus musculus
T00108	C/EBPalpha	rat, Rattus norvegicus
T00105	C/EBPalpha	human, Homo sapiens
T00459	C/EBPbeta(LAP)	rat, Rattus norvegicus
T00017	C/EBPbeta(p35)	mouse, Mus musculus
T00583	C/EBPdelta	human, Homo sapiens
T01114	C/EBPdelta	mouse, Mus musculus
T00109	C/EBPdelta	rat, Rattus norvegicus
T00147	COUP	rat, Rattus norvegicus
T00149	COUP-TF1	human, Homo sapiens
T00994	COUP-TF1	mouse, Mus musculus
T00045	COUP-TF2	human, Homo sapiens
T00176	CTF-1	human, Homo sapiens
T02765	ERR1	human, Homo sapiens
T04849	ERR1	mouse, Mus musculus
T00335	GR	mouse, Mus musculus
T00333	GR	rat, Rattus norvegicus
T05076	GR	human, Homo sapiens
T01851	HMG I	human, Homo sapiens
T02368	HMG I	human, Homo sapiens
T01852	HMG-Y	mouse, Mus musculus
T02758	HNF-4	human, Homo sapiens
T03828	HNF-4alpha	human, Homo sapiens
T05287	HNF-4alpha	mouse, Mus musculus
T05288	HNF-4alpha	rat, Rattus norvegicus
T01701	HOXA4	mouse, Mus musculus
T01703	HOXA4	human, Homo sapiens
T01705	HOXA7	human, Homo sapiens
T01278	HOXA7	mouse, Mus musculus
T01707	HOXA7	rat, Rattus norvegicus
T01752	HOXD4	mouse, Mus musculus
T00376	HOXD4	human, Homo sapiens
T00535	NF-1	rat, Rattus norvegicus
T00537	NF-1	mouse, Mus musculus
T00550	NF-AT1	human, Homo sapiens
T01944	NF-AT1	mouse, Mus musculus
T01948	NF-AT1	human, Homo sapiens
T05171	NF-AT1	rat, Rattus norvegicus
T00581	NF-IL6-2	human, Homo sapiens
T05256	PPAR-alpha:RXR-alpha	rat, Rattus norvegicus
T05221	PPAR-alpha:RXR-alpha	human, Homo sapiens
T05243	PPAR-alpha:RXR-alpha	mouse, Mus musculus
T05235	PPAR-gamma:RXR-alpha	rat, Rattus norvegicus
T05236	PPAR-gamma:RXR-alpha	mouse, Mus musculus
T01344	REVERB-alpha	rat, Rattus norvegicus
T02746	REVERB-alpha	human, Homo sapiens
T01527	RORalpha1	human, Homo sapiens
T01528	RORalpha2	human, Homo sapiens
T01529	RORalpha3	human, Homo sapiens
T02748	RORbeta	human, Homo sapiens
T02749	RORgamma	human, Homo sapiens
T00754	Sp1	rat, Rattus norvegicus
T00752	Sp1	mouse, Mus musculus
T00759	Sp1	human, Homo sapiens
T04562	SREBP-1	mouse, Mus musculus
T01556	SREBP-1a	human, Homo sapiens
T01557	SREBP-1b	human, Homo sapiens
T01558	SREBP-1c	human, Homo sapiens
T01562	SREBP-1c	rat, Rattus norvegicus
T01560	SREBP-2	human, Homo sapiens
T04759	STAT1	human, Homo sapiens
T01575	STAT1alpha	mouse, Mus musculus
T01492	STAT1alpha	human, Homo sapiens
T01573	STAT1beta	human, Homo sapiens
T01493	STAT3	human, Homo sapiens
T01574	STAT3	mouse, Mus musculus
T04683	STAT5A	human, Homo sapiens
T01579	STAT5A	mouse, Mus musculus
T04684	STAT5B	human, Homo sapiens
T00944	STAT5B	mouse, Mus musculus
T04761	STAT5B	rat, Rattus norvegicus
T00875	USF-1	rat, Rattus norvegicus
T00877	USF-1	mouse, Mus musculus
T00874	USF1	human, Homo sapiens
T05262	USF1:USF2	rat, Rattus norvegicus
T00878	USF2	human, Homo sapiens
T01555	USF2	mouse, Mus musculus
T02115	USF2	rat, Rattus norvegicus
